0.92,12.2946,-2.11778,2.02012,0.982434,-0.18659,0.000595519,-0.00269178
0.93,12.433,-2.20173,2.01983,0.98387,-0.178864,0.000627125,-0.00268368
0.94,12.5734,-2.2822,2.0199,0.985339,-0.170587,0.000632455,-0.00270397
0.95,12.7154,-2.35886,2.01969,0.986824,-0.161771,0.000730024,-0.00278151
0.96,12.8604,-2.43071,2.01944,0.988328,-0.152314,0.000774255,-0.00268303
0.97,13.0072,-2.49858,2.01936,0.989815,-0.14233,0.00078567,-0.00273195
0.98,13.156,-2.56144,2.01933,0.991279,-0.131746,0.000860907,-0.00275739
0.99,13.3068,-2.61845,2.01952,0.992696,-0.120613,0.00097703,-0.0026125
1,13.4597,-2.67095,2.01945,0.994052,-0.108866,0.00103616,-0.00267682
1.01,13.6144,-2.71697,2.01976,0.995319,-0.0966001,0.00111235,-0.00259663
1.02,13.771,-2.75701,2.01996,0.996478,-0.0838031,0.00114397,-0.00254118
1.03,13.9295,-2.79044,2.02012,0.997501,-0.0706025,0.00115468,-0.00237854
1.04,14.0884,-2.81787,2.02062,0.998376,-0.056911,0.00125305,-0.00237145
1.05,14.2488,-2.83781,2.02117,0.999074,-0.0429426,0.00129957,-0.00218882
1.06,14.4104,-2.85209,2.02133,0.999586,-0.0286496,0.00123975,-0.00225495
1.07,14.5719,-2.85863,2.02195,0.999896,-0.014224,0.00132427,-0.00215997
1.08,14.7338,-2.85735,2.0223,0.999997,0.000282987,0.00130721,-0.00192208
1.09,14.8959,-2.85048,2.02271,0.999888,0.0147979,0.00126604,-0.00196662
1.1,15.057,-2.83617,2.02332,0.999569,0.0292741,0.0012851,-0.00196857
1.11,15.2175,-2.81571,2.02356,0.999049,0.0435293,0.00128297,-0.00208551
1.12,15.3768,-2.78772,2.02402,0.998342,0.0575142,0.00132889,-0.00203213
1.13,15.5354,-2.75343,2.02451,0.997462,0.071158,0.00127423,-0.00204777
1.14,15.6917,-2.7129,2.02505,0.996428,0.0844099,0.00134208,-0.00205914
1.15,15.8468,-2.66676,2.02547,0.995259,0.0972303,0.00130287,-0.00219436
1.16,15.9995,-2.61413,2.02605,0.993981,0.109522,0.00138774,-0.00214576
1.17,16.1503,-2.55623,2.02648,0.992616,0.121273,0.00145184,-0.00214489
1.18,16.2993,-2.49321,2.02709,0.991192,0.132405,0.00145052,-0.0021286
1.19,16.4459,-2.42557,2.02782,0.98972,0.142993,0.00152634,-0.00216961
1.2,16.5907,-2.35339,2.02861,0.988225,0.152983,0.00151361,-0.00220117
1.21,16.7326,-2.27698,2.02937,0.98672,0.162407,0.00162409,-0.00222597
1.22,16.8731,-2.19647,2.02989,0.985226,0.171238,0.00157598,-0.00223365
1.23,17.0108,-2.11211,2.03068,0.983752,0.179511,0.00164887,-0.00217993
1.24,17.1467,-2.02462,2.03142,0.982312,0.18723,0.00166691,-0.00217332
1.25,17.2803,-1.93401,2.03239,0.980911,0.194437,0.00175705,-0.00215344
1.26,17.4124,-1.8402,2.03311,0.979573,0.201071,0.00172368,-0.00206246
1.27,17.5421,-1.74381,2.03397,0.97829,0.207225,0.00177909,-0.00196199
1.28,17.671,-1.64535,2.0346,0.977065,0.212925,0.00166724,-0.00197676
1.29,17.7975,-1.54446,2.03537,0.975909,0.218163,0.00166994,-0.00188512
1.3,17.9228,-1.44186,2.03612,0.974821,0.222976,0.00160175,-0.0018744
1.31,18.0465,-1.33764,2.03682,0.973808,0.227358,0.00155958,-0.00187789
1.32,18.1683,-1.23169,2.03759,0.972869,0.231342,0.00163038,-0.00186519
1.33,18.2893,-1.12455,2.03828,0.972001,0.234962,0.00162198,-0.00190383
1.34,18.409,-1.01546,2.03893,0.971222,0.238163,0.00159577,-0.0017871
1.35,18.5273,-0.905483,2.03958,0.970511,0.241046,0.00164004,-0.00170791
1.36,18.645,-0.795551,2.04041,0.969866,0.243627,0.00169468,-0.00186699
1.37,18.7618,-0.683499,2.04095,0.969304,0.245855,0.00167652,-0.00175274
1.38,18.8784,-0.571487,2.04169,0.96881,0.247794,0.00160787,-0.00181582
1.39,18.9937,-0.458889,2.04242,0.968405,0.249368,0.00167713,-0.00188306
1.4,19.1083,-0.345948,2.04318,0.968072,0.250658,0.00176577,-0.0019635
1.41,19.2231,-0.232195,2.04386,0.967816,0.251647,0.0017416,-0.00194427
1.42,19.3373,-0.118011,2.04469,0.967628,0.252366,0.00175781,-0.00192083
1.43,19.4515,-0.00397718,2.04549,0.967518,0.252788,0.00177315,-0.00193408
1.44,19.5655,0.109871,2.0464,0.967488,0.252901,0.00181193,-0.00201654
1.45,19.6796,0.223912,2.04736,0.967517,0.25279,0.00182848,-0.00206657
1.46,19.7939,0.33783,2.04834,0.967638,0.252328,0.00186185,-0.00206276
1.47,19.9085,0.45165,2.04911,0.967814,0.251651,0.00184702,-0.00205826
1.48,20.0236,0.5648,2.05001,0.968081,0.250623,0.00182847,-0.00210352
1.49,20.1392,0.677675,2.05085,0.968411,0.249343,0.00181314,-0.00212355
1.5,20.2555,0.790702,2.05161,0.968823,0.24774,0.00175367,-0.00195131
1.51,20.3722,0.901712,2.05236,0.969305,0.245848,0.0017947,-0.00204159
1.52,20.4897,1.01219,2.05328,0.969865,0.24363,0.00179542,-0.00205954
1.53,20.6089,1.12204,2.05408,0.970515,0.241025,0.00169491,-0.00206632
1.54,20.7287,1.23069,2.05482,0.971222,0.238161,0.00164733,-0.00202798
1.55,20.8496,1.3384,2.05545,0.972012,0.23492,0.00158337,-0.00194752
1.56,20.971,1.44381,2.05632,0.972891,0.231251,0.00168278,-0.0019711
1.57,21.0946,1.54776,2.05691,0.973824,0.227288,0.0016462,-0.00202309
1.58,21.2195,1.65002,2.05771,0.974826,0.222952,0.0016451,-0.00203337
1.59,21.3456,1.75059,2.05845,0.97592,0.218112,0.00167496,-0.00199988
1.6,21.474,1.84866,2.05911,0.977078,0.212867,0.00159966,-0.00204456
1.61,21.6037,1.94441,2.0599,0.978302,0.207168,0.00160386,-0.00204675
1.62,21.7354,2.03732,2.06061,0.979588,0.200999,0.00164603,-0.00211497
1.63,21.8689,2.12743,2.06138,0.980933,0.194328,0.00169144,-0.00217041
1.64,22.0044,2.21471,2.06203,0.982329,0.187142,0.00170864,-0.00217222
1.65,22.1421,2.29823,2.06289,0.983765,0.179437,0.00171679,-0.0022544
1.66,22.2824,2.379,2.0635,0.985241,0.171151,0.00161548,-0.00216974
1.67,22.4241,2.45478,2.06428,0.986735,0.162312,0.00168776,-0.00231047
1.68,22.5687,2.52725,2.06505,0.988242,0.152876,0.00159344,-0.00225153
1.69,22.7146,2.59382,2.06582,0.989737,0.14287,0.00171951,-0.00249764
1.7,22.8636,2.65669,2.0665,0.991211,0.132254,0.00159668,-0.00250892
1.71,23.0142,2.71448,2.0671,0.992634,0.121113,0.00158649,-0.00250162
1.72,23.1673,2.7673,2.0679,0.993999,0.109355,0.00144978,-0.00237343
1.73,23.3219,2.81373,2.06835,0.995275,0.0970579,0.00140455,-0.002397
1.74,23.4781,2.85409,2.06884,0.996438,0.0842856,0.00136961,-0.00241832
1.75,23.6358,2.88862,2.06935,0.997471,0.0710193,0.00132359,-0.00234253
1.76,23.7946,2.91597,2.06988,0.998348,0.0573875,0.00130236,-0.00240653
1.77,23.9549,2.93695,2.07027,0.999054,0.0434046,0.00119538,-0.00239639
1.78,24.1152,2.95104,2.07076,0.999572,0.0291234,0.001219,-0.00239031
1.79,24.2763,2.95785,2.07104,0.999889,0.0146682,0.00119746,-0.00242888
1.8,24.4375,2.95829,2.0714,0.999997,0.000147899,0.00116965,-0.0023391
1.81,24.5987,2.95125,2.07168,0.999893,-0.0143821,0.00110663,-0.00235584
1.82,24.759,2.93687,2.07196,0.999581,-0.0288366,0.00113782,-0.00244291
1.83,24.9189,2.9159,2.07218,0.999069,-0.043067,0.0011065,-0.00246824
1.84,25.0775,2.8881,2.07245,0.998368,-0.0570486,0.00110347,-0.00252946
